ID,Namn,Tema,Komponentnivå,Svårighetsgrad,Komponenter,Elektronikfärdigheter,Programmeringsfärdigheter,Makerfärdigheter,Byggtid,Vuxenhjälp,Bygger på,Kort beskrivning,Status
E026,Knappen tänder lampan,Knappar,Baslåda,Upptäckare,"E01, B01, B02, R01, L01, K01","EL05, EL06","PR06, PR07","MK02, MK05, MK06",15–25 min,Ja,E001,Tryck på en knapp för att tända och släcka en LED.,Kandidat
E027,Omvänd knapp med INPUT_PULLUP,Knappar,Baslåda,Upptäckare,"E01, B01, B02, R01, L01, K01","EL05, EL06","PR06, PR07","MK06, MK14",20–30 min,Ja,E026,Lär varför knappen kan vara tryckt när signalen är LOW.,Kandidat
E028,Tryckräknaren,Knappar,Baslåda,Uppfinnare,"E01, B01, B02, K01",EL05,"PR06, PR07, PR09, PR20",MK07,25–35 min,Ja,E027,Räkna hur många gånger knappen trycks och visa i Seriell monitor.,Kandidat
E029,Lampan minns,Knappar,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, K01",EL05,"PR06, PR07, PR08, PR17","MK05, MK14",25–35 min,Ja,E027,Ett knapptryck växlar lampan mellan på och av.,Kandidat
E030,Tryck rätt färg,Knappar och färger,Baslåda,Uppfinnare,"E01, B01, B02, R01, L02, K01","EL05, EL09","PR06, PR07, PR10, PR15",MK08,30–40 min,Ja,"E014, E026",RGB-LED väljer färg och barnet ska trycka när rätt färg visas.,Kandidat
E031,Dubbelknappen,Knappar,Baslåda,Uppfinnare,"E01, B01, B02, R01, L01, K01",EL05,"PR06, PR07, PR08",MK05,25–35 min,Ja,E026,Två knappar styr två olika lampor eller lägen.,Kandidat
E032,Mini-kodlåset,Knappar och spel,Baslåda,Ingenjör,"E01, B01, B02, R01, L01, L02, K01","EL05, EL09","PR06, PR07, PR09, PR13, PR17","MK11, MK14",40–55 min,Ja,"E028, E031",Barnet matar in en enkel knappsekvens för att låsa upp ljuset.,Kandidat
E033,Passiv buzzer första tonen,Ljud,Baslåda,Upptäckare,"E01, B01, B02, A01",EL10,"PR03, PR04, PR05","MK02, MK06",15–20 min,Ja,E001,Spela en enkel ton med buzzern.,Kandidat
E034,Sirenen,Ljud,Baslåda,Uppfinnare,"E01, B01, B02, A01, L01, R01",EL10,"PR05, PR12",MK08,20–30 min,Ja,E033,Låt tonen glida upp och ner som en siren.,Kandidat
E035,Morse med ljud,Ljud,Baslåda,Uppfinnare,"E01, B01, B02, A01, K01","EL10, EL05","PR06, PR11, PR13","MK10, MK15",30–40 min,Ja,"E010, E033",Skicka korta och långa ljudsignaler som morse.,Kandidat
E036,Mini-pianot med knappar,Ljud och musik,Baslåda,Uppfinnare,"E01, B01, B02, A01, K01","EL05, EL10","PR06, PR07, PR13",MK05,35–45 min,Ja,"E031, E033",Flera knappar spelar olika toner.,Kandidat
E037,Melodimaskinen,Ljud och musik,Baslåda,Uppfinnare,"E01, B01, B02, A01",EL10,"PR12, PR13, PR11",MK10,30–45 min,Ja,E033,Spela en kort melodi från arrayer med toner och längder.,Kandidat
E038,Knappstyrd jukebox,Ljud och musik,Baslåda,Ingenjör,"E01, B01, B02, A01, K01, L02, R01","EL05, EL10, EL09","PR06, PR07, PR11, PR13, PR17",MK11,40–55 min,Ja,"E029, E037",Knappen väljer mellan olika ljud eller melodier och RGB visar läge.,Kandidat
